bin_centre,empirical_density,analytical_stationary_density,abs_diff
-5.854181097412978,6.639028275240621e-05,4.563538882214642e-05,2.075489393025979e-05
-5.70355664477593,0.00013278056550481164,7.113698298560638e-05,6.164358251920526e-05
-5.552932192138883,3.3195141376203106e-05,0.0001096134938332779,7.641835245707478e-05
-5.402307739501834,0.00013278056550481242,0.00016695809879172644,3.417753328691401e-05
-5.251683286864788,0.00019917084825721862,0.0002513771811711056,5.2206332913887004e-05
-5.101058834227739,0.00019917084825721862,0.00037412704581102373,0.0001749561975538051
-4.950434381590692,0.0006307076861478553,0.0005504111826276081,8.029650352024719e-05
-4.7998099289536444,0.0006970979689002653,0.0008004427666163398,0.00010334479771607452
-4.649185476316596,0.0014937813619291399,0.0011506631667216965,0.0003431181952074434
-4.498561023679549,0.0018921230584435659,0.0016350876178043388,0.000257035440639227
-4.347936571042501,0.002522830744591436,0.0022967236343683023,0.0002261071102231337
-4.197312118405453,0.0028215870169772637,0.003188976660409174,0.00036738964343191027
-4.046687665768406,0.004448148944411217,0.004376922263178239,7.122668123297777e-05
-3.8960632131313577,0.005975125447716541,0.005938287464478516,3.6837983238025354e-05
-3.7454387604943102,0.007170150537259849,0.007963949414801965,0.0007937988775421163
-3.5948143078572623,0.011551909198918681,0.010557732634815386,0.0009941765641032947
-3.444189855220215,0.013543617681490866,0.013835272516382016,0.00029165483489114984
-3.293565402583167,0.018788450018930904,0.01792171916634007,0.0008667308525908343
-3.1429409499461194,0.023767721225361353,0.022948088111761165,0.0008196331136001885
-2.9923164973090715,0.029278114693811138,0.029046127623833153,0.00023198706997798468
-2.841692044672024,0.03535282556565631,0.03634166872044451,0.0009888431547881993
-2.691067592034976,0.0440831477475976,0.044946551931371516,0.0008634041837739179
-2.5404431393979285,0.053245006767429624,0.054949378818207266,0.0017043720507776416
-2.3898186867608806,0.06702099043855407,0.06640550525216954,0.0006154851863845318
-2.239194234123833,0.07721189884104843,0.0793268620217273,0.002114963180678872
-2.088569781486785,0.09278042014648741,0.09367233711709713,0.0008919169706097241
-1.9379453288497375,0.10715391636238329,0.10933956163364375,0.0021856452712604585
-1.7873208762126898,0.12776809915700574,0.1261589867224816,0.0016091124345241348
-1.6366964235756423,0.14605862205529366,0.1438911048951484,0.002167517160145266
-1.4860719709385943,0.16474748665009506,0.16222754426308092,0.00251994238701414
-1.3354475183015464,0.18290522898287911,0.18079654716562446,0.002108681817254654
-1.184823065664499,0.19485547987831223,0.19917304434251132,0.004317564464199092
-1.0341986130274514,0.21530368696605334,0.2168931731061587,0.001589486140105345
-0.8835741603904039,0.23273113618855998,0.23347269408103935,0.000741557892479372
-0.732949707753356,0.2510548542282226,0.24842837490977443,0.0026264793184481716
-0.5823252551163081,0.2607810306514516,0.26130107327071445,0.0005200426192628615
-0.43170080247926057,0.26974371882302645,0.271679006303143,0.0019352874801165654
-0.28107634984221264,0.28398443447341587,0.27921957262695485,0.0047648618464610215
-0.1304518972051647,0.28239106768735983,0.28366811801734676,0.0012770503299869285
0.020172555431882788,0.28537863041121814,0.28487221220455855,0.0005064182066595868
0.17079700806893028,0.28471472758369404,0.2827903206405321,0.001924406943161927
0.32142146070597777,0.2774449916223055,0.27749418319795344,4.91915756479222e-05
0.4720459133430257,0.26901342571274833,0.26916470981041773,0.00015128409766940187
0.6226703659800736,0.25902168815851284,0.2580817205419661,0.0009399676165467441
0.7732948186171211,0.24547807047702197,0.24460834158560116,0.0008697288914208123
0.9239192712541691,0.23007552487846233,0.22917127049370398,0.0009042543847583573
1.074543723891217,0.20753602388402181,0.2122384049385221,0.004702381054500299
1.2251681765282645,0.19707955435051783,0.1942954655307883,0.0027840888197295244
1.375792629165312,0.17341141854928502,0.1758232277883642,0.002411809239079188
1.5264170818023595,0.15724538469907412,0.157276821451152,3.1436752077868e-05
1.6770415344394074,0.13951917920418083,0.13906828208657276,0.00045089711760806783
1.8276659870764553,0.11800872759240202,0.12155318629303073,0.003544458700628708
1.9782904397135028,0.10824935602779832,0.10502180947354656,0.0032275465542517673
2.1289148923505508,0.0890957594537286,0.08969485605598101,0.000599096602252408
2.2795393449875982,0.07621604459976278,0.07572346338639263,0.0004925812133701468
2.4301637976246457,0.06257284149414248,0.06319290093765272,0.0006200594435102347
2.580788250261694,0.053444177615686685,0.05212919367138172,0.0013149839443049663
2.7314127028987416,0.042290610113283,0.04250779853288464,0.00021718841960163826
2.882037155535789,0.03495448386914166,0.03426345166152113,0.000691032207620533
3.0326616081728375,0.02911213898692995,0.02730036793508648,0.0018117710518434707
3.183286060809885,0.019850694542969574,0.021502095213672502,0.001651400670702928
3.3339105134469325,0.017593424929387542,0.016740481777568813,0.0008529431518187296
3.48453496608398,0.011784275188552172,0.012883385906014197,0.0010991107174620242
3.6351594187210274,0.010356884109375308,0.009800922846654358,0.0005559612627209498
3.785783871358076,0.0070041748303788145,0.007370192250301915,0.00036601741992310036
3.9364083239951233,0.004315368378906429,0.005478549046554653,0.0011631806676482238
4.087032776632171,0.0037178558341347256,0.004025568146192917,0.0003077123120581917
4.237657229269218,0.002755196734224874,0.002923907998079074,0.00016871126385419998
4.388281681906266,0.0020249036239483775,0.002099302944858436,7.439932091005824e-05
4.538906134543314,0.0020249036239483775,0.0014899147448604404,0.0005349888790879371
4.689530587180362,0.0011286348067909122,0.0010452558641046493,8.337894268626287e-05
4.840155039817409,0.0006639028275240582,0.0007248676175599693,6.096479003591109e-05
4.9907794924544575,0.00043153683789063784,0.0004969007772674542,6.536393937681633e-05
5.141403945091505,0.000331951413762033,0.00033670963570973917,4.758221947706142e-06
5.2920283977285525,0.0002655611310096233,0.00022553622402297403,4.0024906986649246e-05
5.442652850365601,9.958542412860871e-05,0.0001493316819748427,4.974625784623398e-05
5.593277303002648,0.0001327805655048132,9.773778663171866e-05,3.5042778873094554e-05
5.743901755639696,9.958542412860871e-05,6.32336038683993e-05,3.635182026020941e-05
5.894526208276743,3.31951413762033e-05,4.043973119054335e-05,7.244589814340049e-06
6.045150660913791,3.3195141376203106e-05,2.556486345114003e-05,7.630277925063077e-06
