row,col,M_empirical,M_planted,abs_diff
0,0,0.9999414198572479,1.0,5.858014275206269e-05
0,1,-0.0018935672320147072,0.0,0.0018935672320147072
0,2,-0.0016662281530380563,0.0,0.0016662281530380563
1,0,-5.858014275396466e-05,0.0,5.858014275396466e-05
1,1,-0.0018935672320148753,0.0,0.0018935672320148753
1,2,-0.0016662281530380855,0.0,0.0016662281530380855
2,0,-5.8580142753965175e-05,0.0,5.8580142753965175e-05
2,1,-1.0018935672320088,-1.0,0.0018935672320088415
2,2,-0.001666228153038068,0.0,0.001666228153038068
