dgp,description,run,frobenius_distance_M_emp_minus_M_planted,M00_empirical,M01_empirical,M21_empirical,s0_empirical,rotor_energy_empirical,spin2_energy_empirical,det_M_empirical
"Gaussian (baseline, from E17)",all moments finite,1,0.006373958233033367,0.9999999998773356,0.001971769017297181,-0.9980282309826901,0.33295486257641255,0.49494071890856456,1.16857954861521,-0.0031071811653914988
"Gaussian (baseline, from E17)",all moments finite,2,0.008352514920018483,0.9999957780625487,-0.0019869797532148354,-1.0019869797531957,0.3341342468645781,0.5064129177091578,1.1626852776445435,0.004393942284397838
"Gaussian (baseline, from E17)",all moments finite,3,0.009009845958965557,0.9999831896256183,-0.0038504330855733933,-1.0038504330856006,0.33321010859068373,0.5073885226502147,1.1672729706953817,0.003497569232029455
"Gaussian (baseline, from E17)",all moments finite,4,0.007030527476674754,1.0000060725733708,-0.0040265384384390755,-1.0040265384384337,0.3321641416087009,0.5045579917460963,1.1725576076821775,0.0005128906911628835
"Gaussian (baseline, from E17)",all moments finite,5,0.008685939335941344,0.9999962386111431,-0.005014783275829012,-1.0050147832758254,0.3316534250704675,0.5050186265100157,1.1750968797231518,-2.118012391122738e-05
t-Student ν=3,"variance finite, kurtosis infinite",1,0.0013263823773025896,0.999990950670117,0.00072509567483439,-0.9992749043251754,0.3334899690913364,0.4990295344929171,1.1658572563342569,-0.00024613907094062445
t-Student ν=3,"variance finite, kurtosis infinite",2,0.008213524446508767,0.9999983436065857,0.004667819462671876,-0.995332180537333,0.33461007615456245,0.49452264159864784,1.1603141594805368,-0.0008359346055597202
t-Student ν=3,"variance finite, kurtosis infinite",3,0.016637738283900513,0.9999950680253802,0.008575382895740582,-0.9914246171042438,0.33474738179034724,0.4872257208230904,1.1597230349248837,-0.004328305550081002
t-Student ν=3,"variance finite, kurtosis infinite",4,0.009460709464706337,0.9999553679319519,0.005090489977670603,-0.9949095100223341,0.33567524620641037,0.496909462742154,1.154876185442791,0.001979880709605022
t-Student ν=3,"variance finite, kurtosis infinite",5,0.010524754245404135,0.9999765217510047,-0.0051453518995471575,-1.0051453518995344,0.3326878502656655,0.5084312431532773,1.1698796574565578,0.003232380945537683
stable α=1.5,"mean finite, variance infinite",1,0.0007470987394950694,0.9999872624064527,0.00030216440524107074,-0.9996978355947722,0.3333272924879079,0.499390565160852,1.1666589372461664,-0.000307549347970269
stable α=1.5,"mean finite, variance infinite",2,0.0010337189984791905,0.9999753048210249,0.0004951523840744981,-0.9995048476159022,0.33337939444707615,0.4991730984921967,1.166362813030928,-0.00033227386387154457
stable α=1.5,"mean finite, variance infinite",3,0.0013472453868054709,1.0000033634309315,-0.0007365363893554157,-1.0007365363893699,0.3331722931532999,0.5009873796400252,1.1674829042956247,0.00025005241831725704
stable α=1.5,"mean finite, variance infinite",4,0.00047259391199119957,1.0000002563278643,-0.00014157634025449008,-1.0001415763402786,0.3333639758385887,0.5003749313156033,1.1665143362049546,0.00023324752815613505
stable α=1.5,"mean finite, variance infinite",5,0.002960450831509299,0.9999614496098163,-0.0013326756887651996,-1.0013326756887402,0.3332327707781819,0.502406550729074,1.1670582255756512,0.0010695384134948723
Cauchy,no moments finite,1,8.382124126413703e-05,0.9999699110686701,2.9784431373234637e-05,-0.9999702155686084,0.3333254177149176,0.4999467764443609,1.1666159815717236,-2.3442355291160357e-05
Cauchy,no moments finite,2,0.0012830380745443072,0.9999579088494291,0.0005870775340523444,-0.9994129224659651,0.3333650705894913,0.498963966411667,1.1663825315384126,-0.00044977461500803116
Cauchy,no moments finite,3,8.718817811510848e-05,0.9999758805849791,4.234377057243185e-05,-0.9999576562294035,0.3333352024999705,0.49994504315893057,1.1665849663945242,-1.261685563998467e-05
Cauchy,no moments finite,4,0.00040778902563127595,0.9999919746015093,3.5070546898093274e-05,-0.9999649294530969,0.3332647910351832,0.49973231941497387,1.166985392154955,-0.000232672042857846
Cauchy,no moments finite,5,0.0004476386262044743,1.0000077715485969,-0.0001184967078545222,-1.0001184967078565,0.33337294043540905,0.5003481363042599,1.166492048345334,0.00022954646548503597
