side,bin,level_lo,level_hi,n_in_bin,residual_std,median_level_in_bin
multiplicative,0,9.860582980764592e-05,0.011018314359012524,10000,0.0002144532012461283,0.0010111515175448673
multiplicative,1,0.011018314359012524,0.0712552637346545,10000,0.0021562983159447127,0.038093954702060534
multiplicative,2,0.0712552637346545,0.2247056444897464,9999,0.0069271796312157016,0.1202410395766649
multiplicative,3,0.2247056444897464,0.6832180578737874,10000,0.022228372581514073,0.41228609767554386
multiplicative,4,0.6832180578737874,2.2906214842591273,9999,0.06459827509439924,1.1367025631906773
multiplicative,5,2.2906214842591273,12.745698546385613,10000,0.31998600150008444,5.267518212295551
multiplicative,6,12.745698546385613,52.3156474081451,10000,1.617651764339794,28.307826208861048
multiplicative,7,52.3156474081451,153.62839407131472,9999,4.77647848204434,84.88848153611113
multiplicative,8,153.62839407131472,604.3820032881828,10000,18.69991596582957,324.2683714163086
multiplicative,9,604.3820032881828,14975.678297876992,10000,141.6228673215125,1232.9630599355723
additive_log,0,1.5191755841836505e-05,0.5357743895058423,10000,0.049689148138216246,0.23756809419115354
additive_log,1,0.5357743895058423,1.1897696327583283,10000,0.050077165478365736,0.8640379712134281
additive_log,2,1.1897696327583283,1.907308669227456,9999,0.04985213319631464,1.5460300565064033
additive_log,3,1.907308669227456,2.614898801110273,10000,0.04992718445289859,2.2635001042041933
additive_log,4,2.614898801110273,3.3152635795094083,9999,0.050023923573498885,2.961192153457192
additive_log,5,3.3152635795094083,4.0904935879629,10000,0.04989113269564791,3.7378403524596306
additive_log,6,4.0904935879629,4.874829335825557,10000,0.0496091996177103,4.461022139223258
additive_log,7,4.874829335825557,6.012184198770839,9999,0.05001584474347809,5.391199499413823
additive_log,8,6.012184198770839,7.051280945672366,10000,0.050694063723969736,6.516636659983014
additive_log,9,7.051280945672366,9.622796400192454,10000,0.05023218390571419,7.699268166564232
