horizon,nominal,gauss_coverage,substrate_coverage,gauss_width,substrate_width,n_test_positions
1,0.9,0.9028,0.894,0.020528335818542538,0.019640962367046377,5000
1,0.95,0.9404,0.9488,0.02446102085171983,0.026172596282491564,5000
1,0.99,0.9734,0.9858,0.03214723066422395,0.040401609843736586,5000
5,0.9,0.9072,0.8964,0.045902754355204904,0.044556534268199416,5000
5,0.95,0.9476,0.9502,0.05469650542348534,0.05589305852858565,5000
5,0.99,0.9818,0.9872,0.07188339305357047,0.07834112807459552,5000
22,0.9,0.8992,0.8974,0.09628642984623972,0.0965977583331904,5000
22,0.95,0.942,0.9404,0.11473235770427623,0.11518902082241217,5000
22,0.99,0.9824,0.9842,0.15078387734215504,0.15616799074454613,5000
